,accuracy,f1_score,loss,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/learning_rate,config/batch_size,logdir
0,0.725,0.0,27.5,1730643230,checkpoint_000009,True,True,10,b0377cb9,2024-11-03_16-13-56,14.550803899765015,193.54372262954712,134016,alex-MS-7996,192.168.100.115,193.54372262954712,10,0.09562386794137573,2,b0377cb9
1,0.9,0.7931034482758621,0.31454691596348616,1730643381,checkpoint_000009,True,True,10,bbe7a825,2024-11-03_16-16-27,13.782095193862915,144.31090593338013,134704,alex-MS-7996,192.168.100.115,144.31090593338013,10,9.12661357679489e-06,2,bbe7a825
2,0.65,0.0,0.6295662224292755,1730643519,checkpoint_000009,True,True,10,b2997d63,2024-11-03_16-18-50,13.568339347839355,137.8960349559784,135336,alex-MS-7996,192.168.100.115,137.8960349559784,10,0.0003164438079137543,16,b2997d63
3,0.7,0.0,0.5931299328804016,1730643549,checkpoint_000001,True,True,2,eff154f6,2024-11-03_16-19-19,13.69197416305542,24.700868844985962,135838,alex-MS-7996,192.168.100.115,24.700868844985962,2,0.00043480477221528716,8,eff154f6
4,0.5916666666666667,0.40963855421686746,40.833333333333336,1730643581,checkpoint_000001,True,True,2,60dc257b,2024-11-03_16-19-48,12.54791784286499,23.070181131362915,136016,alex-MS-7996,192.168.100.115,23.070181131362915,2,0.008561673197661684,4,60dc257b
5,0.6916666666666667,0.0,0.6574348360300064,1730643606,checkpoint_000001,True,True,2,eee04e60,2024-11-03_16-20-23,19.409066200256348,28.784045934677124,136191,alex-MS-7996,192.168.100.115,28.784045934677124,2,1.5658997294423222e-06,32,eee04e60
6,0.25,0.4,75.0,1730643657,checkpoint_000001,True,True,2,0d8d8e6a,2024-11-03_16-21-03,12.509267568588257,33.76286268234253,136388,alex-MS-7996,192.168.100.115,33.76286268234253,2,0.01616360201607891,2,0d8d8e6a
7,0.75,0.0,0.5651128888130188,1730643826,checkpoint_000009,True,True,10,08cb9a27,2024-11-03_16-24-15,35.398216247558594,187.15041399002075,136571,alex-MS-7996,192.168.100.115,187.15041399002075,10,0.0012391275732563352,4,08cb9a27
8,0.6916666666666667,0.0,28.90625,1730643874,checkpoint_000001,True,True,2,a47df101,2024-11-03_16-24-41,10.100138902664185,20.18072199821472,137447,alex-MS-7996,192.168.100.115,20.18072199821472,2,0.004001021389459424,16,a47df101
9,0.55,0.55,0.6739319413900375,1730643902,checkpoint_000001,True,True,2,d4066277,2024-11-03_16-25-10,10.821108102798462,23.42527937889099,137690,alex-MS-7996,192.168.100.115,23.42527937889099,2,1.0998758363066552e-06,32,d4066277
10,0.30833333333333335,0.4713375796178344,69.16666666666667,1730643952,checkpoint_000001,True,True,2,c2401198,2024-11-03_16-25-59,10.026761054992676,42.91841244697571,137883,alex-MS-7996,192.168.100.115,42.91841244697571,2,0.028213025181650534,8,c2401198
11,0.7166666666666667,0.0,28.333333333333332,1730643988,checkpoint_000001,True,True,2,9b49b93c,2024-11-03_16-26-33,12.932229042053223,29.536089658737183,138123,alex-MS-7996,192.168.100.115,29.536089658737183,2,0.022003755614564594,2,9b49b93c
12,0.7416666666666667,0.6804123711340206,0.5442325551062822,1730644129,checkpoint_000009,True,True,10,377473c9,2024-11-03_16-28-59,14.79781723022461,135.36016821861267,138302,alex-MS-7996,192.168.100.115,135.36016821861267,10,8.956456886133838e-05,4,377473c9
13,0.8583333333333333,0.7384615384615385,0.48088253289461136,1730644273,checkpoint_000009,True,True,10,1185df79,2024-11-03_16-31-25,15.24910044670105,140.1698272228241,139079,alex-MS-7996,192.168.100.115,140.1698272228241,10,5.4818195971109196e-05,32,1185df79
14,0.75,0.0625,0.5987421721220016,1730644336,checkpoint_000003,True,True,4,c2f15a9a,2024-11-03_16-32-26,13.954502582550049,55.639567375183105,139618,alex-MS-7996,192.168.100.115,55.639567375183105,4,2.857942237341573e-06,32,c2f15a9a
15,0.65,0.0,34.375,1730644366,checkpoint_000001,True,True,2,7a908a66,2024-11-03_16-32-56,12.923513650894165,24.10170006752014,139910,alex-MS-7996,192.168.100.115,24.10170006752014,2,0.04920070328555132,32,7a908a66
16,0.7416666666666667,0.0,0.5742590675751368,1730644432,checkpoint_000003,True,True,4,983a9012,2024-11-03_16-33-58,14.67456579208374,56.76772665977478,140088,alex-MS-7996,192.168.100.115,56.76772665977478,4,0.00065413940621996,2,983a9012
17,0.6916666666666667,0.0,0.5797271952033043,1730644484,checkpoint_000003,True,True,4,d77d0ebc,2024-11-03_16-34-55,13.812206983566284,51.41629362106323,140355,alex-MS-7996,192.168.100.115,51.41629362106323,4,0.00030452376777575856,16,d77d0ebc
18,0.7166666666666667,0.66,0.6538949981331825,1730644542,checkpoint_000003,True,True,4,873c86a6,2024-11-03_16-35-53,14.578275680541992,53.23544764518738,140687,alex-MS-7996,192.168.100.115,53.23544764518738,4,0.00017475422478848072,16,873c86a6
19,0.6416666666666667,0.0,35.15625,1730644573,checkpoint_000001,True,True,2,f40abd5d,2024-11-03_16-36-23,13.764976739883423,24.342895984649658,140971,alex-MS-7996,192.168.100.115,24.342895984649658,2,0.0023556101185880957,16,f40abd5d
