,accuracy,f1_score,loss,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/learning_rate,config/batch_size,logdir
0,0.7166666666666667,0.0,0.5969416201114655,1730655698,checkpoint_000009,True,True,10,88c2eab1,2024-11-03_19-41-50,14.977634191513062,142.10394191741943,188114,alex-MS-7996,192.168.100.115,142.10394191741943,10,0.0010840704908939118,32,88c2eab1
1,0.775,0.0,22.65625,1730655728,checkpoint_000001,True,True,2,1d87e374,2024-11-03_19-42-19,14.164100885391235,24.578020334243774,188757,alex-MS-7996,192.168.100.115,24.578020334243774,2,0.03992134318097561,16,1d87e374
2,0.7,0.1,0.6159065365791321,1730655845,checkpoint_000007,True,True,8,b43477d6,2024-11-03_19-44-17,14.462530136108398,112.06868147850037,188952,alex-MS-7996,192.168.100.115,112.06868147850037,8,2.0934795259485668e-05,16,b43477d6
3,0.725,0.0,0.6044589747985204,1730655998,checkpoint_000009,True,True,10,39f2c906,2024-11-03_19-46-44,14.465258598327637,142.10242795944214,189466,alex-MS-7996,192.168.100.115,142.10242795944214,10,0.0003890078591313222,2,39f2c906
4,0.275,0.43137254901960786,72.5,1730656029,checkpoint_000001,True,True,2,9cbad9ad,2024-11-03_19-47-14,11.903406620025635,24.78561305999756,189963,alex-MS-7996,192.168.100.115,24.78561305999756,2,0.0059804144667782045,2,9cbad9ad
5,0.65,0.19230769230769232,0.6468123843272527,1730656088,checkpoint_000003,True,True,4,dc273f62,2024-11-03_19-48-13,12.085628271102905,54.10900616645813,190144,alex-MS-7996,192.168.100.115,54.10900616645813,4,2.5649608127161127e-05,2,dc273f62
6,0.7,0.0,0.6310529415806134,1730656118,checkpoint_000001,True,True,2,6b6018f1,2024-11-03_19-48-44,12.553823709487915,25.430845499038696,190396,alex-MS-7996,192.168.100.115,25.430845499038696,2,0.001254082669260654,2,6b6018f1
7,0.6833333333333333,0.0,32.03125,1730656141,checkpoint_000001,True,True,2,a0a668eb,2024-11-03_19-49-12,13.79719352722168,23.9052414894104,190573,alex-MS-7996,192.168.100.115,23.9052414894104,2,0.015163848998673691,32,a0a668eb
8,0.7166666666666667,0.0,0.5979730914036433,1730656292,checkpoint_000009,True,True,10,05d5a631,2024-11-03_19-51-40,14.661782026290894,142.37098813056946,190751,alex-MS-7996,192.168.100.115,142.37098813056946,10,1.9609422065139454e-06,2,05d5a631
9,0.6583333333333333,0.0,0.6619613319635391,1730656317,checkpoint_000001,True,True,2,b69c3871,2024-11-03_19-52-09,14.042124032974243,24.076210498809814,191237,alex-MS-7996,192.168.100.115,24.076210498809814,2,3.3905104317256576e-05,32,b69c3871
10,0.6916666666666667,0.0,0.6119039778908094,1730656388,checkpoint_000003,True,True,4,c2b625ec,2024-11-03_19-53-14,13.528774499893188,60.87324333190918,191417,alex-MS-7996,192.168.100.115,60.87324333190918,4,3.8085501598242096e-06,2,c2b625ec
11,0.6333333333333333,0.0,0.8240996748209,1730656410,checkpoint_000001,True,True,2,50f3aa97,2024-11-03_19-53-40,12.365123510360718,20.835872888565063,191674,alex-MS-7996,192.168.100.115,20.835872888565063,2,6.0847981486784955e-05,32,50f3aa97
12,0.6833333333333333,0.0,0.6260554701089859,1730656445,checkpoint_000001,True,True,2,87b0fdca,2024-11-03_19-54-11,13.35080885887146,26.163501977920532,191851,alex-MS-7996,192.168.100.115,26.163501977920532,2,0.00010177821471344811,2,87b0fdca
13,0.75,0.375,0.6061137840151787,1730656557,checkpoint_000007,True,True,8,ba951bad,2024-11-03_19-56-09,14.817213535308838,112.61612582206726,192028,alex-MS-7996,192.168.100.115,112.61612582206726,8,3.1964914883089494e-05,16,ba951bad
14,0.6833333333333333,0.0,31.666666666666668,1730656588,checkpoint_000001,True,True,2,0bf16069,2024-11-03_19-56-39,14.030901193618774,24.653012990951538,192445,alex-MS-7996,192.168.100.115,24.653012990951538,2,0.016766788873751465,8,0bf16069
15,0.7166666666666667,0.0,28.333333333333332,1730656619,checkpoint_000001,True,True,2,aa36d5b8,2024-11-03_19-57-09,14.059273719787598,26.235968589782715,192622,alex-MS-7996,192.168.100.115,26.235968589782715,2,0.0032214966622181114,8,aa36d5b8
16,0.725,0.0,0.9711104892194271,1730656676,checkpoint_000003,True,True,4,e5569b1c,2024-11-03_19-58-07,14.236995458602905,52.9233603477478,192942,alex-MS-7996,192.168.100.115,52.9233603477478,4,0.0003514095543758253,16,e5569b1c
17,0.7333333333333333,0.0,0.5883386209607124,1730656822,checkpoint_000009,True,True,10,f64481a5,2024-11-03_20-00-34,14.583332538604736,140.6359691619873,193310,alex-MS-7996,192.168.100.115,140.6359691619873,10,0.0007114742557696961,16,f64481a5
18,0.7083333333333334,0.0,0.6461065212885538,1730656855,checkpoint_000001,True,True,2,70902ca9,2024-11-03_20-01-04,12.037536382675171,24.3956880569458,193881,alex-MS-7996,192.168.100.115,24.3956880569458,2,0.0006396478397194659,8,70902ca9
19,0.675,0.0,0.6456633992493153,1730656882,checkpoint_000001,True,True,2,b6d280ac,2024-11-03_20-01-33,14.031113386154175,24.59283185005188,194058,alex-MS-7996,192.168.100.115,24.59283185005188,2,9.365647336868899e-05,16,b6d280ac
